iter	Passed	Remaining
0	48	4820
1	49	2412
2	49	1609
3	50	1207
4	50	965
5	51	803
6	51	687
7	52	599
8	52	531
9	53	477
10	53	433
11	53	395
12	54	363
13	54	336
14	55	312
15	55	292
16	55	273
17	56	256
18	56	241
19	56	227
20	57	215
21	57	204
22	58	194
23	58	185
24	58	176
25	59	169
26	59	162
27	60	155
28	60	149
29	61	142
30	61	136
31	61	131
32	62	126
33	62	121
34	62	116
35	63	112
36	63	108
37	64	104
38	64	101
39	65	97
40	65	94
41	65	90
42	66	87
43	66	84
44	66	81
45	67	78
46	67	75
47	67	73
48	67	70
49	68	68
50	68	66
51	69	64
52	69	61
53	70	59
54	70	57
55	70	55
56	71	53
57	71	51
58	72	50
59	72	48
60	73	46
61	73	45
62	73	43
63	74	41
64	74	40
65	75	38
66	75	37
67	76	35
68	76	34
69	76	32
70	77	31
71	77	30
72	77	28
73	78	27
74	78	26
75	78	24
76	79	23
77	79	22
78	80	21
79	80	20
80	81	19
81	81	17
82	82	16
83	82	15
84	82	14
85	83	13
86	83	12
87	83	11
88	84	10
89	84	9
90	85	8
91	87	7
92	87	6
93	88	5
94	88	4
95	90	3
96	91	2
97	91	1
98	92	0
99	92	0
